"industrySlug","industryPageRef","question","answer","sortOrder","isActive","schemaInclude","sourceNote"
"construction-contractor-funding","","What should contractors prepare before applying?","Prepare recent business bank statements, revenue records, and a project-aware use-of-funds plan tied to labor, materials, and equipment costs.","4","true","true","Wave 1 drafted copy. Validate against final underwriting and legal review before publish."
"medical-practice-funding","","How is funding used by medical practice businesses?","TODO: Add practical use-of-funds examples for medical practice operators.","1","true","true","Seeded placeholder. Replace with reviewed, factual copy before publish."
"medical-practice-funding","","What does Distilled Funding review for medical practice applicants?","TODO: Add factual qualification criteria and required documentation details.","2","true","true","Seeded placeholder. Replace with reviewed, factual copy before publish."
"medical-practice-funding","","How quickly can a medical practice business move from application to funding review?","TODO: Add timeline language that is accurate and non-promissory.","3","true","true","Seeded placeholder. Replace with reviewed, factual copy before publish."
"medical-practice-funding","","What should medical practice owners prepare before applying?","TODO: Add checklist-based preparation guidance aligned with actual process.","4","true","true","Seeded placeholder. Replace with reviewed, factual copy before publish."
"dental-practice-funding","","How is funding used by dental practice businesses?","TODO: Add practical use-of-funds examples for dental practice operators.","1","true","true","Seeded placeholder. Replace with reviewed, factual copy before publish."
"dental-practice-funding","","What does Distilled Funding review for dental practice applicants?","TODO: Add factual qualification criteria and required documentation details.","2","true","true","Seeded placeholder. Replace with reviewed, factual copy before publish."
"dental-practice-funding","","How quickly can a dental practice business move from application to funding review?","TODO: Add timeline language that is accurate and non-promissory.","3","true","true","Seeded placeholder. Replace with reviewed, factual copy before publish."
"dental-practice-funding","","What should dental practice owners prepare before applying?","TODO: Add checklist-based preparation guidance aligned with actual process.","4","true","true","Seeded placeholder. Replace with reviewed, factual copy before publish."
"veterinary-practice-funding","","How is funding used by veterinary practice businesses?","TODO: Add practical use-of-funds examples for veterinary practice operators.","1","true","true","Seeded placeholder. Replace with reviewed, factual copy before publish."
"veterinary-practice-funding","","What does Distilled Funding review for veterinary practice applicants?","TODO: Add factual qualification criteria and required documentation details.","2","true","true","Seeded placeholder. Replace with reviewed, factual copy before publish."
"veterinary-practice-funding","","How quickly can a veterinary practice business move from application to funding review?","TODO: Add timeline language that is accurate and non-promissory.","3","true","true","Seeded placeholder. Replace with reviewed, factual copy before publish."
"veterinary-practice-funding","","What should veterinary practice owners prepare before applying?","TODO: Add checklist-based preparation guidance aligned with actual process.","4","true","true","Seeded placeholder. Replace with reviewed, factual copy before publish."
"auto-repair-shop-funding","","How is funding used by auto repair shop businesses?","TODO: Add practical use-of-funds examples for auto repair shop operators.","1","true","true","Seeded placeholder. Replace with reviewed, factual copy before publish."
"auto-repair-shop-funding","","What does Distilled Funding review for auto repair shop applicants?","TODO: Add factual qualification criteria and required documentation details.","2","true","true","Seeded placeholder. Replace with reviewed, factual copy before publish."
"auto-repair-shop-funding","","How quickly can a auto repair shop business move from application to funding review?","TODO: Add timeline language that is accurate and non-promissory.","3","true","true","Seeded placeholder. Replace with reviewed, factual copy before publish."
"auto-repair-shop-funding","","What should auto repair shop owners prepare before applying?","TODO: Add checklist-based preparation guidance aligned with actual process.","4","true","true","Seeded placeholder. Replace with reviewed, factual copy before publish."
"salon-spa-business-funding","","How is funding used by salon spa business businesses?","TODO: Add practical use-of-funds examples for salon spa business operators.","1","true","true","Seeded placeholder. Replace with reviewed, factual copy before publish."
"salon-spa-business-funding","","What does Distilled Funding review for salon spa business applicants?","TODO: Add factual qualification criteria and required documentation details.","2","true","true","Seeded placeholder. Replace with reviewed, factual copy before publish."
"salon-spa-business-funding","","How quickly can a salon spa business business move from application to funding review?","TODO: Add timeline language that is accurate and non-promissory.","3","true","true","Seeded placeholder. Replace with reviewed, factual copy before publish."
"salon-spa-business-funding","","What should salon spa business owners prepare before applying?","TODO: Add checklist-based preparation guidance aligned with actual process.","4","true","true","Seeded placeholder. Replace with reviewed, factual copy before publish."
"wholesale-distributor-funding","","How is funding used by wholesale distributor businesses?","TODO: Add practical use-of-funds examples for wholesale distributor operators.","1","true","true","Seeded placeholder. Replace with reviewed, factual copy before publish."
"wholesale-distributor-funding","","What does Distilled Funding review for wholesale distributor applicants?","TODO: Add factual qualification criteria and required documentation details.","2","true","true","Seeded placeholder. Replace with reviewed, factual copy before publish."
"wholesale-distributor-funding","","How quickly can a wholesale distributor business move from application to funding review?","TODO: Add timeline language that is accurate and non-promissory.","3","true","true","Seeded placeholder. Replace with reviewed, factual copy before publish."
"wholesale-distributor-funding","","What should wholesale distributor owners prepare before applying?","TODO: Add checklist-based preparation guidance aligned with actual process.","4","true","true","Seeded placeholder. Replace with reviewed, factual copy before publish."
"manufacturing-business-funding","","How is funding used by manufacturing business businesses?","TODO: Add practical use-of-funds examples for manufacturing business operators.","1","true","true","Seeded placeholder. Replace with reviewed, factual copy before publish."
"manufacturing-business-funding","","What does Distilled Funding review for manufacturing business applicants?","TODO: Add factual qualification criteria and required documentation details.","2","true","true","Seeded placeholder. Replace with reviewed, factual copy before publish."
"manufacturing-business-funding","","How quickly can a manufacturing business business move from application to funding review?","TODO: Add timeline language that is accurate and non-promissory.","3","true","true","Seeded placeholder. Replace with reviewed, factual copy before publish."
"manufacturing-business-funding","","What should manufacturing business owners prepare before applying?","TODO: Add checklist-based preparation guidance aligned with actual process.","4","true","true","Seeded placeholder. Replace with reviewed, factual copy before publish."
"staffing-agency-funding","","How is funding used by staffing agency businesses?","TODO: Add practical use-of-funds examples for staffing agency operators.","1","true","true","Seeded placeholder. Replace with reviewed, factual copy before publish."
"staffing-agency-funding","","What does Distilled Funding review for staffing agency applicants?","TODO: Add factual qualification criteria and required documentation details.","2","true","true","Seeded placeholder. Replace with reviewed, factual copy before publish."
"staffing-agency-funding","","How quickly can a staffing agency business move from application to funding review?","TODO: Add timeline language that is accurate and non-promissory.","3","true","true","Seeded placeholder. Replace with reviewed, factual copy before publish."
"staffing-agency-funding","","What should staffing agency owners prepare before applying?","TODO: Add checklist-based preparation guidance aligned with actual process.","4","true","true","Seeded placeholder. Replace with reviewed, factual copy before publish."
"law-firm-funding","","How is funding used by law firm businesses?","TODO: Add practical use-of-funds examples for law firm operators.","1","true","true","Seeded placeholder. Replace with reviewed, factual copy before publish."
"law-firm-funding","","What does Distilled Funding review for law firm applicants?","TODO: Add factual qualification criteria and required documentation details.","2","true","true","Seeded placeholder. Replace with reviewed, factual copy before publish."
"law-firm-funding","","How quickly can a law firm business move from application to funding review?","TODO: Add timeline language that is accurate and non-promissory.","3","true","true","Seeded placeholder. Replace with reviewed, factual copy before publish."
"law-firm-funding","","What should law firm owners prepare before applying?","TODO: Add checklist-based preparation guidance aligned with actual process.","4","true","true","Seeded placeholder. Replace with reviewed, factual copy before publish."
"home-services-funding","","How is funding used by home services businesses?","TODO: Add practical use-of-funds examples for home services operators.","1","true","true","Seeded placeholder. Replace with reviewed, factual copy before publish."
"home-services-funding","","What does Distilled Funding review for home services applicants?","TODO: Add factual qualification criteria and required documentation details.","2","true","true","Seeded placeholder. Replace with reviewed, factual copy before publish."
"home-services-funding","","How quickly can a home services business move from application to funding review?","TODO: Add timeline language that is accurate and non-promissory.","3","true","true","Seeded placeholder. Replace with reviewed, factual copy before publish."
"home-services-funding","","What should home services owners prepare before applying?","TODO: Add checklist-based preparation guidance aligned with actual process.","4","true","true","Seeded placeholder. Replace with reviewed, factual copy before publish."
